year,mode,ridership,source
2019,LRT,159805196.0,Malaysia
2019,MRT,63952805.0,Malaysia
2019,LRT,208000.0,Singapore
2019,MRT,3384000.0,Singapore
2020,LRT,80022747.0,Malaysia
2020,MRT,33168335.0,Malaysia
2020,LRT,139000.0,Singapore
2020,MRT,2023000.0,Singapore
2021,LRT,47062587.0,Malaysia
2021,MRT,19573010.0,Malaysia
2021,LRT,151000.0,Singapore
2021,MRT,2100000.0,Singapore
2022,LRT,99167097.0,Malaysia
2022,MRT,49495786.0,Malaysia
2022,LRT,184000.0,Singapore
2022,MRT,2745000.0,Singapore
2023,LRT,124354171.0,Malaysia
2023,MRT,96057359.0,Malaysia
2023,LRT,202000.0,Singapore
2023,MRT,3243000.0,Singapore
2024,LRT,148756212.0,Malaysia
2024,MRT,132647104.0,Malaysia
2024,LRT,210000.0,Singapore
2024,MRT,3412000.0,Singapore
