origin,destination,distance_km,ridership
AG10: Pudu,AG11: Chan Sow Lin,0.8569159163303888,7199
AG10: Pudu,AG12: Miharja,1.682141185044664,18701
AG10: Pudu,AG13: Maluri,2.134512043638998,30646
AG10: Pudu,AG14: Pandan Jaya,3.061764573917817,15181
AG10: Pudu,AG15: Pandan Indah,3.8364014419373667,7100
AG10: Pudu,AG16: Cempaka,4.570685460892995,15681
AG10: Pudu,AG17: Cahaya,5.0054159446348985,15709
AG10: Pudu,AG18: Ampang,5.608736740575563,13547
AG10: Pudu,KG04: Kwasa Damansara,16.19674029245027,559
AG10: Pudu,KG05: Kwasa Sentral,16.817583544516214,1001
AG10: Pudu,KG06: Kota Damansara,14.893245980361,1254
AG10: Pudu,KG07: Surian,13.205016193833275,2072
AG10: Pudu,KG08: Mutiara Damansara,11.646038904908794,1840
AG10: Pudu,KG09: Bandar Utama,10.44849258249564,2775
AG10: Pudu,KG10: TTDI,9.040785721069895,2458
AG10: Pudu,KG12: Phileo Damansara,7.735074131001119,1825
AG10: Pudu,KG13: Pusat Bandar Damansara,5.534045025209553,2345
AG10: Pudu,KG14: Semantan,5.460099648371762,4318
AG10: Pudu,KG15: Muzium Negara,2.7470394924187116,981
AG10: Pudu,KG16: Pasar Seni,1.998076184888459,2067
AG10: Pudu,KG17: Merdeka,1.3533046550844714,1397
AG10: Pudu,KG20: Tun Razak Exchange,1.2363788523076935,5705
AG10: Pudu,KG21: Cochrane,1.2429512251267376,3905
AG10: Pudu,KG22: Maluri,2.159686676350239,17716
AG10: Pudu,KG23: Taman Pertama,3.1471605153450253,1966
AG10: Pudu,KG24: Taman Midah,4.056070739554183,3125
AG10: Pudu,KG25: Taman Mutiara,5.816206293936003,8223
AG10: Pudu,KG26: Taman Connaught,7.211783112900096,4698
AG10: Pudu,KG27: Taman Suntex,9.075344733763469,3810
AG10: Pudu,KG28: Sri Raya,10.534043390139496,1981
AG10: Pudu,KG29: Bandar Tun Hussien Onn,11.916982174772942,3087
AG10: Pudu,KG30: Batu 11 Cheras,12.437903839402194,2925
AG10: Pudu,KG31: Bukit Dukung,13.731273455929935,1341
AG10: Pudu,KG33: Sungai Jernih,16.89735345932984,1292
AG10: Pudu,KG34: Stadium Kajang,17.658317908204054,2185
AG10: Pudu,KG35: Kajang,19.01772099823969,2783
AG10: Pudu,KJ10: KLCC,2.67897795990758,7832
AG10: Pudu,KJ11: Kampung Baru,3.006679887797051,901
AG10: Pudu,KJ12: Dang Wangi,2.692011044528649,1978
AG10: Pudu,KJ13: Masjid Jamek,2.3553081684930564,564
AG10: Pudu,KJ14: Pasar Seni,2.030473675928445,2740
AG10: Pudu,KJ15: KL Sentral,2.854667356586054,3284
AG10: Pudu,KJ16: Bank Rakyat Bangsar,3.741194764853936,4729
AG10: Pudu,KJ17: Abdullah Hukum,4.69365496402476,4316
AG10: Pudu,KJ18: Kerinchi,5.276755090524724,2065
AG10: Pudu,KJ19: Universiti,6.024022582225923,1659
AG10: Pudu,KJ20: Taman Jaya,8.159860053100674,1641
AG10: Pudu,KJ21: Asia Jaya,8.91708372715557,2173
AG10: Pudu,KJ22: Taman Paramount,10.410656527314284,1553
AG10: Pudu,KJ23: Taman Bahagia,11.324504257381527,1136
AG10: Pudu,KJ24: Kelana Jaya,12.209470647671637,1587
AG10: Pudu,KJ25: Lembah Subang,13.663008352793877,868
AG10: Pudu,KJ26: Ara Damansara,14.245604759779503,1180
AG10: Pudu,KJ27: Cgc Glenmarie,14.192278589477098,1652
AG10: Pudu,KJ28: Subang Jaya,14.839707170818203,986
AG10: Pudu,KJ29: SS 15,15.444854820106462,1170
AG10: Pudu,KJ30: SS 18,15.887819973725888,417
AG10: Pudu,KJ31: USJ 7,15.993932138675257,642
AG10: Pudu,KJ32: Taipan,16.60328807048987,883
AG10: Pudu,KJ33: Wawasan,17.651073698203188,392
AG10: Pudu,KJ34: USJ 21,18.586372841664932,298
AG10: Pudu,KJ35: Alam Megah,19.893171770149085,463
AG10: Pudu,KJ36: Subang Alam,20.85995808763317,218
AG10: Pudu,MR10: Chow Kit,3.9135092576001678,4006
