date,ridership,ron95_price
2021-01-01,9907945.0,1.8739999999999999
2021-02-01,9038370.0,1.9849999999999999
2021-03-01,13730426.0,2.05
2021-04-01,14473588.0,2.05
2021-05-01,9335296.0,2.05
2021-06-01,4114399.0,2.05
2021-07-01,4434863.0,2.05
2021-08-01,5511489.0,2.05
2021-09-01,8069017.0,2.05
2021-10-01,10749317.0,2.05
2021-11-01,11929137.0,2.05
2021-12-01,13330707.0,2.05
2022-01-01,13889947.0,2.05
2022-02-01,10825015.0,2.05
2022-03-01,13102502.0,2.05
2022-04-01,14915896.0,2.05
2022-05-01,16599854.0,2.05
2022-06-01,20731795.0,2.05
2022-07-01,21442455.0,2.05
2022-08-01,21670739.0,2.05
2022-09-01,21222999.0,2.05
2022-10-01,21491091.0,2.05
2022-11-01,19854187.0,2.05
2022-12-01,22604116.0,2.05
2023-01-01,21782019.0,2.05
2023-02-01,20763834.0,2.05
2023-03-01,26921697.0,2.05
2023-04-01,23376555.0,2.05
2023-05-01,26254094.0,2.05
2023-06-01,25868319.0,2.05
2023-07-01,27051789.0,2.05
2023-08-01,28645834.0,2.05
2023-09-01,27567201.0,2.05
2023-10-01,29916350.0,2.05
2023-11-01,29674880.0,2.05
2023-12-01,30400263.0,2.05
2024-01-01,30405832.0,2.05
2024-02-01,28729366.0,2.05
2024-03-01,31627450.0,2.05
2024-04-01,29814378.0,2.05
2024-05-01,33299172.0,2.05
2024-06-01,31039178.0,2.05
2024-07-01,34695759.0,2.05
2024-08-01,35209168.0,2.05
2024-09-01,32712350.0,2.05
2024-10-01,35867157.0,2.05
2024-11-01,34836000.0,2.05
2024-12-01,35514356.0,2.05
2025-01-01,34266937.0,2.05
2025-02-01,32687773.0,2.05
2025-03-01,33933770.0,2.05
2025-04-01,34645195.0,2.05
2025-05-01,36425939.0,2.05
2025-06-01,34463564.0,2.05
2025-07-01,38298326.0,2.05
2025-08-01,38022675.0,2.05
2025-09-01,33970031.0,2.1599999999999997
2025-10-01,36773446.0,2.6
2025-11-01,35560128.0,2.6325
2025-12-01,37297694.0,2.62
